Designator,Mid X,Mid Y,Rotation,Layer
J1,185.05,-83.75,0.0,top
J10,152.9,-113.4,0.0,top
J11,185.2,-113.4,0.0,top
J2,185.15,-92.45,0.0,top
J3,139.35,-83.65,0.0,top
J4,139.35,-92.45,0.0,top
J5,162.2,-82.05,0.0,top
J6,148.275,-87.15,0.0,top
J7,176.275,-87.05,0.0,top
J8,152.9,-103.9,0.0,top
J9,185.1,-103.9,0.0,top
R1,164.3,-87.3,270.0,bottom
R2,160.2,-87.2375,270.0,bottom
SW1,144.1,-104.0,90.0,top
SW2,176.42,-104.0,90.0,top
SW3,144.1,-113.4,90.0,top
SW4,176.5,-113.5,90.0,top
U1,162.27,-83.84,0.0,bottom
